id;name
0;uncategorized
1;buljongtärning
3;färs
5;konc_fond
6;krydda
7;krydda_ört
8;kål
9;lök
10;lök_mindre
11;mejeri_rinnig
12;mjöl
13;nudlar
14;olja
15;pasta
16;protein_fläsk
17;protein_nöt
18;rotfrukt
19;sallad
20;soja
21;svamp
22;sötning
23;buljong
24;bönor_fasta
25;bönor_mjuka
26;chili
27;chilisås_stark
28;citrus_sur
29;fisk
30;frön
31;kokbar_mejeri
32;mejeri_tjock
33;nötter
34;oliver
35;paprika
36;protein_fågel
37;ris
38;riven_mjukost
39;skaldjur
40;tomat
41;tomatburk
42;torkade_linser
43;vinäger
