id;ingredientid;recipeid;quantity;measurementid
1;50;1;1;8
2;17;1;1;6
3;33;1;1;2
4;28;1;1;8
5;14;1;1;8
6;64;1;500;3
7;37;1;1;6
8;5;1;2;9
9;57;1;;
10;48;1;65;3
11;59;1;;
12;11;1;4;7
13;41;1;2;6
14;61;1;3;1
15;1;2;400;3
17;56;2;1;4
18;3;2;2;6
19;60;2;3;8
20;7;2;2;1
21;14;2;3;8
22;15;2;1;4
23;22;2;5;1
24;58;2;200;3
25;59;2;;
26;66;2;2;8
27;31;2;4;6
28;31;2;25;3
29;31;2;2;6
30;18;2;1;6
31;54;2;250;3
32;36;2;;
33;65;2;1;9
34;41;2;1.5;6
35;61;2;1.5;1
36;47;2;2;6
37;71;2;1;1
38;63;2;1;8
39;63;2;3;8
40;25;3;250;3
41;53;3;1;9
43;27;3;1;8
44;24;3;500;3
45;34;3;1.5;9
46;74;3;3;1
47;7;3;1;1
48;7;3;1.5;1
49;44;3;1;6
50;15;3;900;3
51;59;3;1;9
52;19;3;1;1
53;36;3;2;5
54;63;3;1;8
55;23;3;1;8
56;25;4;1;8
57;38;4;500;3
58;42;4;;
59;17;4;1;6
60;35;4;2;6
61;4;4;2;6
62;14;4;150;3
63;44;4;1;6
64;44;4;3;6
65;29;4;1;1
67;52;4;1;6
68;46;4;1;6
69;36;4;1;5
70;61;4;1;1
71;62;4;150;3
72;63;4;2;8
73;70;4;200;3
74;15;5;600;3
75;168;5;1;
76;14;5;1;
77;114;5;1;6
78;63;5;1;
79;132;5;7.5;1
80;192;5;500;3
81;97;5;2;9
82;186;5;360;3
83;148;5;400;3
84;84;5;10;3
85;63;5;1;
86;94;5;1.5;1
87;59;5;;
88;36;5;;
89;144;5;1;
90;178;6;4;7
91;119;6;600;3
92;114;6;0.5;6
93;59;6;;
94;36;6;;
95;86;6;60;10
96;95;6;340;3
97;79;6;2;
98;78;6;0.5;11
99;141;6;1;
100;114;6;0.5;6
101;145;6;1;
102;90;6;1;9
103;116;7;4;7
104;106;7;1;
105;136;7;250;3
106;83;7;1;2
107;96;7;1;11
108;63;7;1;
109;61;7;1;6
110;37;7;2;6
111;200;7;1;9
112;59;7;;
113;36;7;;
114;78;7;0.5;11
115;190;7;250;3
116;163;7;1;1
117;128;7;65;3
118;124;8;900;3
119;168;8;2;
120;114;8;0.5;6
121;59;8;;
122;36;8;;
123;176;8;600;3
124;31;8;1;9
125;102;8;1;9
126;95;8;400;3
127;114;8;1;6
128;63;8;1;
129;34;8;2;9
130;7;8;2.5;1
131;183;8;1.5;1
132;126;8;0.5;
133;78;8;60;3
134;115;9;4;7
135;79;9;2;
136;63;9;1;
137;141;9;1;
138;90;9;20;3
139;114;9;2;6
140;145;9;1;
141;102;9;2;5
142;59;9;;
143;36;9;;
144;138;9;1;2
145;172;9;1;
146;78;9;60;3
147;191;9;400;3
148;152;9;0.5;1
149;37;9;0.5;6
150;200;9;0.5;6
151;50;10;1;
152;114;10;1;6
153;21;10;500;3
154;59;10;;
155;36;10;;
156;65;10;2;9
157;34;10;1;6
158;7;10;5;1
159;17;10;1;6
160;192;10;500;3
161;97;10;2;9
162;27;10;1;
163;92;10;12;
164;182;10;1.5;1
165;127;10;2;
166;178;11;4;7
167;49;11;250;3
168;145;11;1;
169;59;11;;
170;36;11;;
171;147;11;600;3
172;114;11;1;9
173;104;11;150;10
174;25;12;250;3
175;11;12;4;7
176;154;12;2;1
177;7;12;1;1
178;91;12;130;3
179;59;12;;
180;36;12;;
181;93;12;250;3
182;128;12;65;3
183;178;16;4;7
184;194;16;2;1
185;50;16;1;
186;87;16;1;6
187;142;16;1;9
188;114;16;1;6
189;63;16;2;
190;82;16;0.5;6
191;41;16;2;9
192;133;16;5;1
193;89;16;400;10
194;110;16;0.5;
195;189;16;250;3
196;145;16;1;
197;59;16;;
198;80;16;65;3
199;158;16;1;1
200;76;15;0.5;
201;36;16;;
202;107;15;0.25;1
203;46;15;0.5;1
204;61;15;1;1
205;85;15;0.5;6
206;15;15;1;4
207;30;15;0.5;
208;53;15;0.5;9
209;100;15;2;6
210;201;15;2;6
211;59;15;0.5;9
212;36;15;2;5
213;44;15;2;6
214;63;15;1;
215;130;15;200;3
216;44;15;2;6
217;59;15;1;5
218;36;15;1;5
219;157;15;2;1
220;99;15;2;6
221;59;15;1;5
222;178;14;4;7
223;61;14;1;1
224;88;14;0.5;1
225;103;14;0.5;1
226;17;14;3;6
227;105;14;230;3
228;14;14;2;
229;79;14;2;
230;78;14;0.5;11
231;81;14;180;3
232;90;14;25;3
233;98;14;12;8
234;101;14;1;6
